CRASH_EVENT_ID	CRASH_ID	SEQ_NO	EVENT_ID	EVENT_OTHER_DESC
6205143	3716404	1	13	
6205153	3716413	1	1	
6205154	3716413	2	18	
6205156	3716415	1	13	
6205157	3716416	1	13	
6205158	3716417	1	13	
6205162	3716420	1	1	
6205163	3716420	2	98	DITCH
6205164	3716420	3	2	
6205165	3716421	1	13	
6205166	3716422	1	13	
6205167	3716423	1	1	
6205169	3716425	1	98	OTHER - EXPLAIN IN NARRATIVE
6205174	3716428	1	13	
6205175	3716429	1	13	
6205176	3716430	1	13	
6205177	3716431	1	17	
6205180	3716434	1	13	
6205181	3716435	1	1	
6205182	3716436	1	13	
6205183	3716437	1	1	
6205184	3716437	2	98	DITCH
6205185	3716437	3	3	
6205186	3716438	1	13	
6205187	3716439	1	13	
6205188	3716440	1	13	
6205189	3716441	1	13	
6205190	3716442	1	13	
6205191	3716443	1	13	
6205192	3716444	1	13	
6205195	3716447	1	17	
6205196	3716448	1	13	
6205197	3716449	1	13	
6205198	3716450	1	3	
6205202	3716453	1	13	
6205203	3716454	1	13	
6205204	3716455	1	13	
6205205	3716456	1	1	
6205206	3716457	1	13	
6205207	3716458	1	13	
6205208	3716459	1	13	
6205209	3716460	1	1	
6205210	3716461	1	13	
6205211	3716462	1	13	
6205212	3716463	1	13	
6205215	3716466	1	13	
6205217	3716468	1	13	
6205218	3716469	1	1	
6205219	3716469	2	18	
6205220	3716469	3	3	
6205221	3716470	1	13	
6205222	3716471	1	13	
6205223	3716472	1	20	
6205224	3716473	1	18	
6205225	3716474	1	20	
6205266	3716480	1	1	
6205267	3716480	2	18	
6205268	3716480	3	98	OTHER
6205269	3716480	4	1	
6205270	3716481	1	98	OTHER
6205271	3716481	2	13	
6205272	3716481	3	98	OTHER
6205273	3716481	4	1	
6205294	3716487	1	98	OTHER
6205295	3716487	2	98	OTHER
6205296	3716487	3	13	
6205297	3716487	4	13	
6205298	3716488	1	98	OTHER
6205299	3716488	2	98	OTHER
6205300	3716488	3	1	
6204686	3716221	1	18	
6204687	3716221	2	2	
6204688	3716221	3	18	
6246121	3740758	1	6	
6204775	3716257	1	98	
6204779	3716261	1	13	
6204780	3716262	1	17	
6204781	3716263	1	13	
6204782	3716264	1	98	
