INSP_STUDY_ID	INSPECTION_ID	STUDY	SEQ_NO
16403334	65566431	TM40	1
16403336	65566435	TM40	1
16403337	65566436	TM4O	1
16403338	65566437	TM40	1
16403339	65566438	TM40	1
16403341	65566443	TM40	1
16403342	65566444	TM40	1
16403343	65566445	TM40	1
16403344	65566446	TM40	1
16403346	65566448	TM40	1
16403347	65566449	TM40	1
16403348	65566453	TM40	1
16403350	65566455	TM40	1
16403351	65566456	TM40	1
16403352	65566457	TM40	1
16403353	65566462	TM40	1
16403356	65566465	TM40	1
16403357	65566466	TM40	1
16403358	65566467	TM40	1
16403359	65566468	TM40	1
16403360	65566469	TM40	1
16403361	65566470	TM40	1
16403362	65566471	TM40	1
16403363	65566472	TM40	1
16403364	65566473	TM40	1
16403365	65566474	TM40	1
16403366	65566475	TM40	1
16403367	65566477	TM40	1
16403368	65566479	TM40	1
16403369	65566484	TM40	1
16403370	65566485	TM40	1
16403372	65566491	TM40	1
16403373	65566492	TM40	1
16403374	65566493	TM40	1
16403375	65566496	TM40	1
16403376	65566497	TM40	1
16403377	65566498	TM40	1
16403378	65566499	TM40	1
16403379	65566500	TM40	1
16403380	65566501	TM40	1
16403381	65566502	TM40	1
16403383	65566504	TM40	1
16403384	65566505	TM40	1
16403385	65566508	TM40	1
16403390	65566520	TM40	1
16403391	65566521	TM40	1
16403393	65566763	MEC CHECK VERIFIED	7
16403396	65567494	MEC CHECK CONFIRMED	7
16403397	65567498	MED CHECKED - CONFIRMED	7
16403409	65571250	BASIC	10
16403411	65571252	BASIC	10
16403413	65571258	BASIC	10
16403416	65571264	BASIC	10
16403419	65571267	BASIC	10
16403420	65571268	BASIC	10
16403421	65571269	BASIC	10
16403422	65544036	BASIC	10
16403423	65571276	BASIC	10
16403424	65571277	BASIC	10
16403426	65571279	BASIC	10
16403427	65571280	BASIC	10
16403428	65571281	BASIC	10
16403429	65571285	BASIC	10
16403431	65571290	MED CHECK VERIFIED	1
16403432	65571290	BASIC	2
16403433	65571291	BASIC	1
16403434	65571293	MED CHECK VERIFIED	1
16403435	65571293	BASIC	2
16403436	65571294	MED CHECK VERIFIED	1
16403437	65571294	BASIC	2
16403438	65571295	BASIC	1
16403441	65571316	BASIC	10
16403442	65571317	BASIC	10
16403444	65571325	BASIC	10
16403448	65571333	BASIC	10
16403449	65571334	BASIC	10
16403450	65571335	BASIC	10
16403453	65571338	BASIC	10
16403454	65571344	BASIC	10
16403455	65571345	BASIC	10
16403465	65571363	BASIC	10
16403469	65571370	BASIC	10
16403470	65571371	BASIC	10
16403471	65571372	BASIC	10
16403472	65571373	BASIC	10
16403473	65571375	BASIC	10
16403474	65571376	BASIC	10
16403478	65571388	BASIC	10
16403479	65571389	BASIC	10
16403482	65571397	BASIC	10
16403486	65571788	FARM	1
16403490	65572546	MEC CHECK-CONFIRMED	7
16403491	65572673	MEC CHECK-NO CONTACT	7
16403492	65572694	MEC CHECK-CONFIRMED	7
16403493	65572972	FINAL DESTINATION IS SAXONBURG, PA.	1
16403494	65573275	FINAL DESTINATION IS SAN ELIZARIO, TX.	1
16403501	65573554	2019-01	1
16403502	65573564	2019-02	1
16403508	65575592	3206	1
16403509	65575593	3206	1
16403510	65575610	3206	1
16403511	65575617	3200	1
16403512	65575617	UT	2
16403515	65575650	3206	1
16403516	65575651	3206	1
16403517	65575652	3206	1
16403518	65575665	3200	1
16403519	65575665	D	2
16403520	65575666	3206	1
16403521	65575709	3200	1
16403522	65575709	UT	2
16403523	65575713	FARM	3
16403524	65575725	FARM	3
16403525	65575726	FARM	3
16403526	65575729	FARM	3
16403527	65575741	FARM	3
16403528	65575742	FARM	3
16403529	65575743	FARM	3
16403534	65575777	3206	1
16403535	65575778	3206	1
16403536	65575779	3206	1
16403537	65575780	3206	1
16403538	65575792	3200	1
16403539	65575792	UT	2
16403540	65575793	3200	1
16403541	65575793	UT	2
16403542	65575794	3200	1
16403543	65575794	UT	2
16403544	65575795	3206	1
16403547	65575804	3206	1
16403548	65575805	3206	1
16403549	65575806	3206	1
16403550	65575824	3206	1
16403551	65575825	3206	1
16403552	65575826	3206	1
16403553	65575827	3206	1
16403554	65575841	FARM	3
16403555	65575860	3206	1
16403556	65575861	3206	1
16403557	65575862	3206	1
16403558	65575863	3206	1
16403569	65560505	I	1
16403570	65577351	I	1
16403572	65560393	I	1
16403575	65577356	I	1
16403577	65560432	I	1
16403579	65577360	NEW ENTRANT	2
16403580	65560399	I	1
16403581	65577361	I	1
16403582	65577362	I	1
16403583	65560434	I	1
16403584	65560443	I	1
16403585	65560444	I	1
16403586	65560445	I	1
16403587	65560472	I	1
16403588	65577365	I	1
16403591	65560473	I	1
16403592	65560481	I	1
16403593	65560482	I	1
16403594	65577371	I	1
16403595	65577381	I	1
16403598	65560389	I	1
16403600	65577394	I	1
16403601	65577395	I	1
16403602	65560499	I	1
16403603	65560500	I	1
16403604	65560507	I	1
16403605	65560496	I	1
16403612	65582465	SB	1
16403613	65582466	SB	1
16403615	65582475	SB	1
16403619	65582491	SB	1
16403624	65582509	SB	1
16403629	65582581	2	1
16403630	65582582	1	1
16403632	65582588	5	1
16403633	65582589	2	1
16403634	65582590	2	1
16403635	65582591	6	1
16403636	65582592	6	1
16403639	65582595	4	1
16403640	65582596	4	1
16403644	65582599	5	1
16403645	65582600	2	1
16403646	65582601	2	1
16403647	65582602	2	1
16403648	65582603	2	1
16403650	65582605	4	1
16403652	65582608	2	1
16403653	65582609	2	1
16403654	65582610	2	1
16403655	65582611	2	1
16403656	65582612	2	1
16403658	65582614	2	1
16403662	65582621	2	1
16403665	65564823	2	1
16403666	65582624	2	1
16403667	65582625	2	1
16403669	65582627	1	1
16403670	65582628	1	1
16403671	65582629	5	1
16403673	65582631	2	1
16403674	65582632	2	1
16403675	65582634	2	1
16403677	65582643	2	1
16403678	65582644	2	1
16403680	65582647	2	1
16403681	65582648	2	1
16403682	65582649	4	1
16403685	65582652	5	1
16403686	65582653	2	1
16403688	65582655	2	1
16403689	65582656	2	1
16403692	65582659	1	1
16403694	65582661	2	1
16403696	65582663	4	1
16403697	65582664	4	1
16403698	65582665	2	1
16403700	65582667	2	1
16403701	65582668	2	1
16403702	65582669	2	1
16403703	65582670	4	1
16403706	65582673	2	1
16403707	65582674	2	1
16403709	65582676	2	1
16403710	65582677	2	1
16403714	65582682	2	1
16403715	65582683	2	1
16403716	65582685	2	1
16403717	65582686	2	1
16403718	65582687	2	1
16403719	65582688	2	1
16403720	65582689	2	1
16403726	65582698	1	1
16403727	65582699	2	1
16403729	65582701	2	1
16403730	65583299	MEC CHECK-NOT CONFIRMED	7
16403733	65583344	TM40	1
16403734	65583345	TM40	1
16403735	65583346	TM40	1
16403736	65583348	T198	1
16403740	65583359	TM40	1
16403741	65583360	TM40	1
16403742	65583361	TM40	1
16403751	65566511	TM40	1
16403752	65566512	TM40	1
16403753	65566514	TM40	1
16403754	65566515	TM40	1
16403757	65566516	TM40	1
16403758	65566517	TM40	1
16403760	65583455	T198	1
16403761	65583456	T198	1
16403762	65583465	T198	1
16403763	65583466	T198	1
16403770	65583509	TM40	1
16403772	65583513	T198	1
16403832	65584695	9400	9
16403833	65584695	HW	10
16403834	65584696	2000	9
16403835	65584696	HW	10
16403836	65584697	4900	9
16403837	65584697	HW	10
16403838	65584698	3100	9
16403839	65584698	HW	10
16403840	65584813	PORTAL DOWN	1
16403841	65584813	36  PASS	2
16403842	65584814	QC-OK	1
16403843	65584814	DRIVER OK	2
16403844	65584814	CARRIER  -OK	3
16403845	65584814	31 PASS	4
16403846	65584816	DRIVER QC-OK	1
16403847	65584816	CARRIER QC-OK	2
16403851	65584842	DRIVER  QC-OK	1
16403852	65584842	CARRIER  QC  -OK	2
16403853	65584843	DRIVER  QC-OK	1
16403854	65584843	CARRIER  QC -OK	2
16403855	65584859	MED CHECK CONFIRMED 1-8-2019@1011	7
16403856	65584860	MED CHECK CONFIRMED 1-8-2019@1257	7
16403859	65585022	BASIC	10
16403861	65585026	BASIC	10
16403862	65585028	BASIC	10
16403863	65585029	BASIC	10
16403864	65585030	BASIC	10
16403866	65585032	BASIC	10
16403868	65585036	BASIC	10
16403869	65585037	BASIC	10
16403871	65585039	BASIC	10
16403872	65585042	BASIC	10
16403874	65585044	BASIC	10
16403875	65585045	BASIC	10
16403876	65585051	MEC CHECK-CONFIRMED	7
16403878	65585054	BASIC	10
